Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),TRSP(%),TFPS(Hz),RRSP(%),TPWR(dBm),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V),GPS_LAT,GPS_LON,HOME_GPS_LAT,HOME_GPS_LON,HOME_DIST,HOME_Alt(m),Rel_Alt(m)
2023-05-08,07:29:19.990,-62,0,100,0,1,31,10,-67,100,13,71,30,80,10,0.23,-0.04,2.81,44.331143 -71.565819,66.5,160.29,435,15,3.8,16.0,32.0,133,98,AUTO,-5,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.331143,-71.565819,44.33319,-71.566964,245.1589996256655,372.0,63.0
2023-05-08,07:29:20.990,-61,0,100,0,1,31,10,-67,100,13,71,30,81,10,0.22,0.05,2.8,44.330940 -71.565685,68.7,159.54,439,15,4.3,16.2,19.9,141,98,AUTO,-5,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.33094,-71.565685,44.33319,-71.566964,270.0798385299764,372.0,67.0
2023-05-08,07:29:21.990,-61,0,100,0,1,31,10,-67,100,12,71,30,80,10,0.11,0.03,2.79,44.330742 -71.565553,66.1,160.54,443,15,2.5,16.4,8.2,145,98,AUTO,-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.330742,-71.565553,44.33319,-71.566964,294.4330654885808,372.0,71.0
2023-05-08,07:29:22.990,-62,0,100,0,1,31,10,-68,100,12,69,30,80,10,0.05,0.05,2.8,44.330555 -71.565428,63.1,161.04,444,15,0.2,16.4,7.8,147,98,AUTO,-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.330555,-71.565428,44.33319,-71.566964,317.4489998403873,372.0,72.0
2023-05-08,07:29:23.990,-64,0,100,0,1,31,10,-68,100,13,69,30,76,10,0.04,0.02,2.8,44.330370 -71.565307,62.6,161.72,445,15,0.1,16.4,11.0,150,98,AUTO,-4,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.33037,-71.565307,44.33319,-71.566964,340.14095689341434,372.0,73.0
2023-05-08,07:29:24.990,-63,0,100,0,1,31,10,-69,100,13,68,30,78,10,0.06,0.09,2.81,44.330182 -71.565185,63.3,160.95,445,15,1.1,16.4,8.9,153,98,AUTO,-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.330182,-71.565185,44.33319,-71.566964,363.1735376582541,372.0,73.0
2023-05-08,07:29:25.990,-65,0,100,0,1,31,10,-70,100,12,68,30,78,10,0.03,0.06,2.81,44.329995 -71.565067,62.0,160.71,447,15,0.2,16.5,7.6,155,98,AUTO,-4,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.329995,-71.565067,44.33319,-71.566964,385.98106752585977,372.0,75.0
2023-05-08,07:29:26.990,-68,0,100,0,1,31,10,-70,100,13,66,30,78,10,0.04,0.05,2.81,44.329808 -71.564953,62.0,161.43,447,15,0.0,16.4,10.8,157,98,AUTO,-4,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.329808,-71.564953,44.33319,-71.566964,408.6646553583636,372.0,75.0
2023-05-08,07:29:27.990,-66,0,100,0,1,31,10,-72,100,12,62,30,73,10,0.05,0.08,2.83,44.329619 -71.564841,62.6,162.07,447,15,0.7,16.4,10.1,160,97,AUTO,-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.329619,-71.564841,44.33319,-71.566964,431.4906954433871,372.0,75.0
2023-05-08,07:29:28.990,-66,0,100,0,1,31,10,-72,100,13,62,30,73,10,0.05,0.01,2.82,44.329430 -71.564731,62.2,164.12,448,15,0.7,16.4,8.5,163,97,AUTO,-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.32943,-71.564731,44.33319,-71.566964,454.25452638358576,372.0,76.0
